"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197321646,0.183145736,0.468532936,0.985408414,1,0.087501348,0.277456932,0.99473688,0.583333333,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.274745417,0.255716664,0.971878937,0.445406712,1,0.123532364,0.571784146,0.89593612,0.583333333,1.04512443144245e-09
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.607869917,0,0,0.576219273,0,0,0,0.998891079,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078915918,0,0,0.966783617,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.372993244,0,0,0.999960253,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.217993958,0.960163796,0.574438485,0.966119678,1,0.516725066,0.339833064,0.992687591,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169505794,0,0,0.822999902,0,0,0,0.999995807,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.363410642,0.140703972,0.7849431,0.996606158,1,0.06679092,0.463169453,0.998457518,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065282867,0,0,0.926693426,0,0,0,0.999999988,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.060496014,0.300744908,0.355129435,0.729048325,1,0.146286197,0.210479091,0.949267772,0.583333333,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.266793867,0.741834418,0.3612963,0.953919868,1,0.386047023,0.214125538,0.989485677,0.583333333,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.10513778,0.067959947,0.990474311,0.922763556,1,0.031904929,0.582533639,0.983634968,0.583333333,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.373897281,0.886650603,0.372233411,0.968190908,1,0.867556803,0.377627771,0.992244676,1,0
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.110875038,0.264315611,0.449893674,0.998195631,1,0.127853937,0.266460315,0.998908161,0.583333333,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.20198927,0,0,0.999591039,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.241811854,0.428761265,0.449096566,0.959119756,1,0.212673517,0.265989931,0.98961381,0.583333333,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.345228412,0,0,0.872444078,0,0,0,0.999999526,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.324988975,0.04946275,0.509499464,0.71894897,1,0.023155899,0.301607366,0.944734985,0.583333333,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.141996192,0.275660899,0.991983391,0.991178731,1,0.133572799,0.583405531,0.997159917,0.583333333,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.260006137,0.680370219,0.126342144,0.364004156,1,0.350736523,0.074955503,0.871749229,0.583333333,2.19229748243954e-07
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.271648538,0,0,0.989925958,0,0,0,1,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.309962151,0.616389448,0.747783838,0.985956358,1,0.314651026,0.441469315,0.996006842,0.583333333,0
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0.290418526,0.655812139,0.516948488,0.998431381,1,0.336805296,0.305995792,0.999153752,0.583333333,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.620851751,0,0,0.988058999,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.039392143,0.958016924,0.699393411,0.319630119,1,0.515399285,0.413161672,0.877308789,0.583333333,1.14543305951287e-07
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.373036583,0.417232983,0.59611227,0.846249652,1,0.206590831,0.352574334,0.971963693,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.151035816,0.477877702,0.598404216,0.997586697,1,0.238823671,0.353921175,0.998828783,0.583333333,0
1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.450088019,0,0,0.99486113,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080581594,0,0,0.118917321,0,0,0,0.925257513,0,2.11557478593249e-05
