"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","normalized_z"
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.197321646,0.183145736,0.468532936,0.985408414,1,0.087501348,0.277456932,0.992570473,0.583333333,0.092681954,0.354243333,0.99308832,0.722222222,0.087334966,0.403548465,0.99646329,0.791666667,5.01655272877599e-10
1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.274745417,0.255716664,0.971878937,0.445406712,1,0.123532364,0.571784146,0.858329971,0.583333333,0.132333401,0.717787518,0.866572994,0.722222222,0.126146468,0.79658555,0.927743689,0.791666667,0.000832603952275912
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.607869917,0,0,0.576219273,0,0,0,0.998432223,0,0,0,0.999993576,0,0,0,0.999999986,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.078915918,0,0,0.966783617,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.372993244,0,0,0.999960253,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0.217993958,0.960163796,0.574438485,0.966119678,1,0.516725066,0.339833064,0.989685458,0.583333333,0.620500819,0.432747686,0.992383701,0.722222222,0.936766899,0.613752901,0.99188186,1,5.00550900728314e-09
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.169505794,0,0,0.822999902,0,0,0,0.999994071,0,0,0,1,0,0.110672456,0.078464869,0.998989813,0.208333333,1.50000018961371e-07
0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0.363410642,0.140703972,0.7849431,0.996606158,1,0.06679092,0.463169453,0.997819609,0.583333333,0.070282258,0.58586087,0.99826699,0.722222222,0.065787175,0.657715041,0.999214646,0.791666667,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.065282867,0,0,0.926693426,0,0,0,0.999999984,0,0,0,1,0,0,0,1,0,9.37763799420122e-05
1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.060496014,0.300744908,0.355129435,0.729048325,1,0.146286197,0.210479091,0.929573801,0.583333333,0.157818261,0.269328183,0.929530929,0.722222222,0.151533863,0.307908988,0.960887266,0.791666667,9.28695844253369e-05
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.266793867,0.741834418,0.3612963,0.953919868,1,0.386047023,0.214125538,0.985186495,0.583333333,0.447084131,0.273965242,0.987496785,0.722222222,0.462370357,0.313157223,0.994212307,0.791666667,1.25397272898731e-07
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.10513778,0.067959947,0.990474311,0.922763556,1,0.031904929,0.582533639,0.976993183,0.583333333,0.033199338,0.730672342,0.979126062,0.722222222,0.030726853,0.809871904,0.989327436,0.791666667,1.64551007708624e-07
1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0.373897281,0.886650603,0.372233411,0.968190908,1,0.867556803,0.377627771,0.98906249,1,0.845244041,0.389344501,0.993608797,1,0.826724389,0.405117901,0.997193345,1,1.35200143303038e-08
0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0.110875038,0.264315611,0.449893674,0.998195631,1,0.127853937,0.266460315,0.998456363,0.583333333,0.137147225,0.340341932,0.998661198,0.722222222,0.13091561,0.387963996,0.999354687,0.791666667,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.20198927,0,0,0.999591039,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.241811854,0.428761265,0.449096566,0.959119756,1,0.212673517,0.265989931,0.985366329,0.583333333,0.234133126,0.339746912,0.986833537,0.722222222,0.22956852,0.387296259,0.993487268,0.791666667,6.72522701972156e-08
1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.345228412,0,0,0.872444078,0,0,0,0.99999933,0,0,0,1,0,0.081378942,0.075065044,0.997757091,0.208333333,8.40000052848566e-08
1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0.324988975,0.04946275,0.509499464,0.71894897,1,0.023155899,0.301607366,0.923408896,0.583333333,0.033425472,0.529357232,0.926316025,1,0.028153629,0.547388036,0.956701084,1,0.000100745091481169
0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0.141996192,0.275660899,0.991983391,0.991178731,1,0.133572799,0.583405531,0.995987295,0.583333333,0.143536565,0.731715989,0.997020287,0.722222222,0.137264599,0.810945786,0.998734269,0.791666667,0
1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0.260006137,0.680370219,0.126342144,0.364004156,1,0.350736523,0.074955503,0.826933069,0.583333333,0.594944969,0.133110565,0.32069126,1,0.559516684,0.139387961,0.924248365,1,0.00221265676214388
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.271648538,0,0,0.989925958,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.309962151,0.616389448,0.747783838,0.985956358,1,0.314651026,0.441469315,0.994360535,0.583333333,0.357011035,0.559154295,0.995804882,0.722222222,0.361289931,0.629022225,0.998261302,0.791666667,5.0044524080306e-10
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0.290418526,0.655812139,0.516948488,0.998431381,1,0.336805296,0.305995792,0.99880347,0.583333333,0.384605688,0.390238043,0.999101313,0.722222222,0.391860177,0.443752974,0.999621338,0.791666667,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.620851751,0,0,0.988058999,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0.039392143,0.958016924,0.699393411,0.319630119,1,0.515399285,0.413161672,0.834100344,0.583333333,0.618686194,0.524158319,0.869205697,0.722222222,0.664912751,0.591155683,0.940762908,0.791666667,0.00140453856081479
1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0.373036583,0.417232983,0.59611227,0.846249652,1,0.206590831,0.352574334,0.960754158,0.583333333,0.227019706,0.448703665,0.964281155,0.722222222,0.222169683,0.508557291,0.981998287,0.791666667,6.55886217038049e-06
1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0.151035816,0.477877702,0.598404216,0.997586697,1,0.238823671,0.353921175,0.998344188,0.583333333,0.264992049,0.450388626,0.998730478,0.722222222,0.261957455,0.510415066,0.999453482,0.791666667,0
1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0.450088019,0,0,0.99486113,0,0,0,1,0,0,0,1,0,0.099454899,0.006296134,0.999999612,0.208333333,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.080581594,0,0,0.118917321,0,0,0,0.897151821,0,0,0,0.984792765,0,0.048857423,0.118040451,0.517675644,0.208333333,0.0138656765824295
1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0.167852954,0.880106558,0.333572191,0.99257301,1,0.467841019,0.197729052,0.996184197,0.583333333,0.836698891,0.349565435,0.997824966,1,0.817330581,0.364211143,0.99906556,1,0
1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.470469853,0,0,0.982791957,0,0.293725659,0.360015299,1,0.416666667,0.162880006,0.248806366,1,0.277777778,0.102077583,0.19557436,1,0.208333333,0
0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0.166799094,0.849415338,0.23120998,0.979815714,1,0.449400018,0.137124313,0.991736586,0.583333333,0.529780474,0.175769157,0.993078566,0.722222222,0.558386183,0.201511646,0.996828821,0.791666667,1.00172611317006e-08
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.103368785,0,0,0.975462183,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0.384555366,0.002633729,0.584617335,0.955471359,1,0.001224235,0.345817958,0.982768608,0.583333333,0.001261274,0.440246211,0.982979348,0.722222222,0.001155729,0.499223765,0.990708212,0.791666667,7.09092013995161e-08
1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.225893805,0.861759781,0.771712122,0.997559622,1,0.456797453,0.455446712,0.99863659,0.583333333,0.539605714,0.576368778,0.999124505,0.722222222,0.791333681,0.802331518,0.99978349,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.26411781,0,0,0.998427318,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0.341455731,0.922848037,0.962978964,0.770472517,1,0.901208201,0.964953551,0.768318054,1,0.886403715,0.964896085,0.976205245,1,0.874202416,0.966770887,0.989820118,1,6.01186797122288e-06
0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0.155327151,0.935887831,0.1702583,0.731906213,1,0.501781688,0.100997905,0.940483004,0.583333333,0.600112833,0.129537537,0.94865843,0.722222222,0.642381585,0.148650273,0.975649044,0.791666667,0.000117494531429618
0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0.315505724,0.191140217,0.959987489,0.800776498,1,0.091432147,0.564904502,0.95099323,0.583333333,0.096965695,0.709524122,0.954700551,0.722222222,0.091487064,0.788037343,0.976421821,0.791666667,1.10525862843103e-05
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.402482407,0,0,0.957650123,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0.442031159,0.050063305,0.243291944,0.981300844,1,0.023439195,0.144282298,0.9898802,0.583333333,0.02432348,0.184919005,0.98932096,0.722222222,0.022450123,0.211954464,0.993826541,0.791666667,1.35540429990755e-08
1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0.020139201,0.368343806,0.403845082,0.992326414,1,0.181026028,0.23927198,0.995534226,0.583333333,0.197389728,0.305901378,0.996054224,0.722222222,0.251697979,0.438748248,0.998467498,1,0
0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0.436946323,0.852268406,0.468352062,0.90006872,1,0.451107363,0.277350236,0.975162749,0.583333333,0.532045027,0.354108535,0.979831466,0.722222222,0.561057622,0.403397497,0.990992762,0.791666667,1.4368911597229e-06
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.330679894,0,0,0.709775322,0,0,0,0.999852629,0,0,0,0.99999992,0,0,0,1,0,0
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.094830515,0.140388889,0.423171911,0.903637019,1,0.066638159,0.250686583,0.969233869,0.583333333,0.0701181,0.320372506,0.968897855,0.722222222,0.06563028,0.36552453,0.982661074,0.791666667,2.65529227205796e-06
0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0.075699165,0.676228909,0.707336046,0.976643549,1,0.348380199,0.417811645,0.991784611,0.583333333,0.399150254,0.529918803,0.993761476,0.722222222,0.408115183,0.597408915,0.997371567,0.791666667,1.50203738336074e-09
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.215998544,0,0,0.999573165,0,0,0,1,0,0.024098724,0.190559644,1,0.277777778,0.015102771,0.149789498,1,0.208333333,0
1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0.145676172,0.374809767,0.801680048,0.995015364,1,0.184385842,0.472932324,0.997301013,0.583333333,0.201259169,0.597840532,0.997987037,0.722222222,0.195588968,0.670525857,0.999150185,0.791666667,0
1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0.272468814,0.379941125,0.073795945,0.996004779,1,0.187056777,0.043785383,0.996790829,0.583333333,0.204340564,0.056189882,0.996767053,0.722222222,0.26079388,0.081509547,0.998422162,1,0
1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.16922254,0,0,0.983726858,0,0,0,1,0,0,0,1,0,0.112453971,0.19054308,0.999999947,0.208333333,0
1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0.538818717,0.295819081,0.727155327,0.987148642,1,0.143782091,0.429408535,0.99410017,0.583333333,0.154996773,0.54426516,0.995164597,0.722222222,0.193792926,0.761741691,0.995427193,1,0
1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.462762997,0,0,0.841519431,0,0,0,0.999997148,0,0,0,1,0,0.030532838,0.061996807,0.988258111,0.208333333,1.17100111729496e-06
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.393545959,0,0,0.999842386,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.119592008,0,0,0.997065059,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.232152088,0.344624682,0.403900972,0.998094687,1,0.168756554,0.239305001,0.998398159,0.583333333,0.183322564,0.305943265,0.998615753,0.722222222,0.232255731,0.438786882,0.99947333,1,0
0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0.114561496,0.616551424,0.181851053,0.998239934,1,0.314741532,0.107870794,0.998438623,0.583333333,0.357123115,0.13833898,0.998617437,0.722222222,0.361413377,0.158725142,0.999330086,0.791666667,0
1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0.084384222,0.475058689,0.570063392,0.990493241,1,0.237312457,0.337260042,0.995280507,0.583333333,0.381568905,0.590606779,0.997156389,1,0.345613782,0.608587257,0.998713954,1,0
0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0.501358142,0.692783897,0.169462633,0.990717306,1,0.357816839,0.100526164,0.994886128,0.583333333,0.411072501,0.128933327,0.995464211,0.722222222,0.421511992,0.147958472,0.997800862,0.791666667,1.00124863955386e-09
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.160567089,0,0,0.958671875,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.217528734,0,0,0.984377442,0,0.090749403,0.031079407,0.9999999,0.416666667,0.050323364,0.02147896,1,0.277777778,0.031537864,0.016883547,1,0.208333333,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.097828817,0,0,0.984108582,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0.220401379,0.655977157,0.002842288,0.963747583,1,0.336898567,0.001686506,0.985618244,0.583333333,0.384722539,0.002164581,0.986156873,0.722222222,0.391990381,0.002486763,0.992708834,0.791666667,3.68113665882852e-07
0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0.187201617,0.400203446,0.988702062,0.997181072,1,0.197643585,0.581509611,0.99841227,0.583333333,0.21660065,0.729446317,0.998909918,0.722222222,0.211378479,0.808609925,0.999555601,0.791666667,0
1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.070149981,0.021824084,0.569556338,0.996925243,1,0.010174086,0.336961825,0.997673984,0.583333333,0.010512546,0.429148062,0.99792384,0.722222222,0.009661036,0.486954433,0.998966414,0.791666667,0
0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0.417756272,0.202070847,0.941648483,0.911783289,1,0.096821951,0.554286383,0.975252341,0.583333333,0.102856193,0.696744423,0.978068395,0.722222222,0.097212824,0.774775738,0.989084968,0.791666667,3.11992009560669e-07
0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.271804476,0.681807025,0.978129618,0.936185474,1,0.3515547,0.575398684,0.983771308,0.583333333,0.40315445,0.722123731,0.987840077,0.722222222,0.412607361,0.801062713,0.994877006,0.791666667,4.36160626504645e-08
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.049630128,0,0,0.984774765,0,0.147303287,0.207090561,0.993696947,0.416666667,0.08168425,0.143120167,1,0.277777778,0.051191862,0.112499675,1,0.208333333,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.068498375,0,0,0.986124654,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.089923052,0,0,0.983707902,0,0,0,1,0,0,0,1,0,0.007856309,0.154267771,0.999440252,0.208333333,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.188575518,0.19136643,0.255322418,0.778267753,1,0.091543513,0.151408656,0.93798912,0.583333333,0.097087211,0.194024581,0.934916887,0.722222222,0.091604992,0.222339651,0.96216978,0.791666667,9.14892435667225e-05
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.087787434,0,0,0.817622822,0,0,0,0.999992776,0,0,0,1,0,0,0,1,0,0
0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.204638913,0.876456332,0.082515685,0.982962775,1,0.465639121,0.048958479,0.99231478,0.583333333,0.551395487,0.062826468,0.993273368,0.722222222,0.583975153,0.072158569,0.996782563,0.791666667,1.40253049174532e-08
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0.248354611,0.986420214,0.790861479,0.851122452,1,0.533006258,0.466622503,0.96945223,0.583333333,0.980771097,0.806894809,0.898828235,1,0.978150777,0.81917527,0.993317865,1,1.20511465617756e-06
1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.08778084,0.306819064,0.275274804,0.988387009,1,0.14937916,0.163224967,0.993482826,0.583333333,0.16130898,0.209113685,0.993765611,0.722222222,0.155037805,0.239532718,0.996734506,0.791666667,1.50295031975389e-09
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.156321615,0.294158867,0.55949563,0.993620378,1,0.142938922,0.331043633,0.996278364,0.583333333,0.154047672,0.421724025,0.996858199,0.722222222,0.147756153,0.478733533,0.998532411,0.791666667,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.217637387,0,0,0.986777423,0,0,0,1,0,0,0,1,0,0,0,1,0,2.70000003466109e-08
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.334472773,0,0,0.863499233,0,0.181477552,0.153105855,0.999955648,0.416666667,0.100634942,0.105811368,1,0.277777778,0.063068341,0.083173076,1,0.208333333,0
0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.237015586,0.964080572,0.581747562,0.978666072,1,0.519145945,0.344130791,0.992688464,0.583333333,0.623817243,0.438132982,0.994718277,0.722222222,0.671162606,0.496889402,0.997895562,0.791666667,1.50155776701411e-09
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.399639503,0,0,0.993799022,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0.5757288,0.257627388,0.979201817,0.968513846,1,0.124491668,0.576018582,0.989183537,0.583333333,0.133400903,0.722867023,0.991204884,0.722222222,0.165089742,0.982263537,0.996876528,1,1.00178143558338e-09
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.13943894,0,0,0.904131584,0,0,0,0.999999902,0,0,0,1,0,0.066090821,0.128570462,0.999924205,0.208333333,5.00000041370185e-10
